year,date,programing,enrolmentnumper,dijital_markting
2021,2021-01-15,Python,120,80
2021,2021-02-10,Java,95,60
2021,2021-03-12,C++,70,55
2021,2021-04-18,Python,130,90
2021,2021-05-22,JavaScript,110,85
2021,2021-06-14,Java,100,75
2022,2022-01-11,Python,150,100
2022,2022-02-19,C++,85,65
2022,2022-03-21,JavaScript,120,95
2022,2022-04-25,Python,160,110
2022,2022-05-30,Java,140,105
2022,2022-06-16,C++,90,70
2023,2023-01-09,Python,180,130
2023,2023-02-13,JavaScript,150,120
2023,2023-03-17,Java,135,100
2023,2023-04-20,C++,95,75
2023,2023-05-28,Python,200,150
2023,2023-06-15,JavaScript,170,140
2024,2024-01-10,Python,210,160
2024,2024-02-18,Java,155,120
