year,date,programing,enrolmentnumper,dijital_markting,flat_size,flat_price
2021,1/15/2021,Python,120,80,100,1000
2021,2/10/2021,Java,95,60,150,1500
2021,3/12/2021,C++,70,55,200,2000
2021,4/18/2021,Python,130,90,250,2500
2021,5/22/2021,JavaScript,110,85,300,3000
2021,6/14/2021,Java,100,75,350,3500
2022,1/11/2022,Python,150,100,400,4000
2022,2/19/2022,C++,85,65,450,4500
2022,3/21/2022,JavaScript,120,95,500,5000
2022,4/25/2022,Python,160,110,550,5500
2022,5/30/2022,Java,140,105,600,6000
2022,6/16/2022,C++,90,70,650,6500
2023,1/9/2023,Python,180,130,700,7000
2023,2/13/2023,JavaScript,150,120,750,7500
2023,3/17/2023,Java,135,100,800,8000
2023,4/20/2023,C++,95,75,850,8500
2023,5/28/2023,Python,200,150,900,9000
2023,6/15/2023,JavaScript,170,140,950,9500
2024,1/10/2024,Python,210,160,1000,10000
2024,2/18/2024,Java,155,120,1500,15000
